usia;kelompok
30        ;Dewasa              
21        ;Pemuda              
75        ;Tua                 
76        ;Tua                 
64        ;Tua                 
42        ;Dewasa              
76        ;Tua                 
20        ;Pemuda              
77        ;Tua                 
44        ;Dewasa              
44        ;Dewasa              
30        ;Dewasa              
64        ;Tua                 
22        ;Pemuda              
24        ;Dewasa              
35        ;Dewasa              
17        ;Pemuda              
37        ;Dewasa              
53        ;Dewasa              
52        ;Dewasa              
53        ;Dewasa              
17        ;Pemuda              
34        ;Dewasa              
1         ;Balita              
76        ;Tua                 
30        ;Dewasa              
56        ;Tua                 
58        ;Tua                 
26        ;Dewasa              
68        ;Tua                 
37        ;Dewasa              
77        ;Tua                 
12        ;Remaja              
36        ;Dewasa              
38        ;Dewasa              
62        ;Tua                 
70        ;Tua                 
52        ;Dewasa              
48        ;Dewasa              
14        ;Remaja              
8         ;Kanak-kanak         
62        ;Tua                 
35        ;Dewasa              
9         ;Kanak-kanak         
48        ;Dewasa              
28        ;Dewasa              
24        ;Dewasa              
80        ;Tua                 
11        ;Kanak-kanak         
17        ;Pemuda              
65        ;Tua                 
12        ;Remaja              
42        ;Dewasa              
51        ;Dewasa              
36        ;Dewasa              
75        ;Tua                 
4         ;Balita              
20        ;Pemuda              
30        ;Dewasa              
46        ;Dewasa              
76        ;Tua                 
44        ;Dewasa              
49        ;Dewasa              
46        ;Dewasa              
75        ;Tua                 
24        ;Dewasa              
11        ;Kanak-kanak         
56        ;Tua                 
74        ;Tua                 
14        ;Remaja              
42        ;Dewasa              
52        ;Dewasa              
14        ;Remaja              
31        ;Dewasa              
30        ;Dewasa              
21        ;Pemuda              
26        ;Dewasa              
59        ;Tua                 
45        ;Dewasa              
2         ;Balita              
3         ;Balita              
9         ;Kanak-kanak         
51        ;Dewasa              
38        ;Dewasa              
15        ;Remaja              
7         ;Kanak-kanak         
65        ;Tua                 
16        ;Remaja              
63        ;Tua                 
18        ;Pemuda              
66        ;Tua                 
75        ;Tua                 
28        ;Dewasa              
76        ;Tua                 
7         ;Kanak-kanak         
21        ;Pemuda              
35        ;Dewasa              
26        ;Dewasa              
23        ;Pemuda              
57        ;Tua                 
